Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,LAMB SOUVA WITH THE LOT,"Lamb Yiros Meat, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Garlic Sauce",$15.60 ,16,4.72,3.7,$17.86 ,$16.92 ,$15.50 ,,$17.20 ,$18.00 ,17.5,17.16,$17.94 ,$18.38 ,$22.36 ,,,,,,,,,,
,CHICKEN SOUVLAKI,"Chicken Yiros Meat, Tomato, Red Onion, Lettuce, & Garlic Sauce",$11.50 ,$12.50 ,$3.50 ,$0.90 ,$11.40 ,$10.70 ,$9.65 ,,$12.70 ,$13.30 ,12.95,12.65,$13.23 ,$12.95 ,$16.51 ,,,,,,,,,,
,CHICKEN SOUVA WITH THE LOT,"Chicken Yiros Meat, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Garlic Sauce",$14.30 ,$16.00 ,$3.50 ,$3.70 ,$14.20 ,$13.50 ,$12.45 ,,$15.80 ,$16.50 ,16.5,15.73,$16.45 ,$16.50 ,$20.54 ,,,,,,,,,,
,MIX SOUVLAKI,"Lamb & Chicken Yiros Meat, Tomato, Red Onion, Lettuce, & Garlic sauce",$12.20 ,$13.00 ,4.11,0.9,$13.23 ,$12.41 ,$11.18 ,,$13.50 ,$14.10 ,14,13.42,$14.03 ,$14.50 ,$17.55 ,,,,,,,,,,
,MIX SOUVA WITH THE LOT,"Lamb & Chicken Yiros Meat, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Garlic Sauce",$15.00 ,$17.00 ,4.11,3.7,$16.03 ,$15.21 ,$13.98 ,,$16.50 ,$17.30 ,16.8,16.5,$17.25 ,$17.64 ,$21.45 ,,,,,,,,,,
,FISH SOUVLAKI,"Flake (Grilled or Fried), Tomato, Red Onion, Lettuce, & Tartare Sauce",$12.20 ,13,3.73,0.9,$12.09 ,$11.34 ,$10.23 ,,$13.50 ,$14.10 ,14.5,13.42,$14.03 ,$14.50 ,$17.55 ,,,,,,,,,,
,FISH SOUVA WITH THE LOT,"Fried Fish, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Tartare Sauce",$15.00 ,16,3.73,3.7,$14.89 ,$14.14 ,$13.03 ,,$16.50 ,$17.30 ,,16.5,$17.25 ,$0.00 ,$21.45 ,,,,,,,,,,
,VEGETABLE SOUVLAKI,"Gourmet Vegetable Patty, Beetroot, Tomato, Red Onion, Lettuce, & Mayo",$7.10 ,10,1.69,1.9,$6.97 ,$6.63 ,$6.13 ,,$7.90 ,$8.20 ,9,7.81,$8.17 ,$8.80 ,$10.27 ,,,,,,,,,,
,GRILLED FISH,,$0.50 ,,,,,,,,$0.60 ,$0.60 ,0.6,0.55,$0.58 ,$0.00 ,$0.78 ,,,,,,,,,,
,EXTRA LAMB MEAT,Add extra lamb meat to any souvlaki,$4.00 ,4.5,2.11,,$6.33 ,$5.91 ,$5.28 ,,$4.40 ,$4.60 ,,4.4,$4.60 ,$5.18 ,$5.72 ,,,,,,,,,,
